datetime,date,hour,frequency_demand,frequency_price
2025-07-02 12:00:00,2025-07-02,12,529.504,5.980
2025-07-02 13:00:00,2025-07-02,13,539.867,1.816
2025-07-02 14:00:00,2025-07-02,14,560.765,4.020
2025-07-02 15:00:00,2025-07-02,15,619.658,4.537
2025-07-02 16:00:00,2025-07-02,16,617.808,4.232
2025-07-02 17:00:00,2025-07-02,17,727.782,10.627
2025-07-02 18:00:00,2025-07-02,18,758.449,27.452
2025-07-02 19:00:00,2025-07-02,19,771.390,15.640
2025-07-02 20:00:00,2025-07-02,20,747.580,10.966
2025-07-02 21:00:00,2025-07-02,21,705.380,8.230
2025-07-02 22:00:00,2025-07-02,22,643.670,3.968
2025-07-02 23:00:00,2025-07-02,23,583.967,7.802
2025-07-03 00:00:00,2025-07-03,0,508.218,6.878
2025-07-03 01:00:00,2025-07-03,1,486.311,5.202
2025-07-03 02:00:00,2025-07-03,2,447.534,9.482
2025-07-03 03:00:00,2025-07-03,3,460.593,9.605
2025-07-03 04:00:00,2025-07-03,4,504.384,9.925
2025-07-03 05:00:00,2025-07-03,5,557.665,8.382
2025-07-03 06:00:00,2025-07-03,6,577.381,8.023
2025-07-03 07:00:00,2025-07-03,7,620.488,6.345
2025-07-03 08:00:00,2025-07-03,8,659.542,5.417
2025-07-03 09:00:00,2025-07-03,9,678.589,9.445
2025-07-03 10:00:00,2025-07-03,10,652.369,7.386
2025-07-03 11:00:00,2025-07-03,11,609.192,6.083
2025-07-03 12:00:00,2025-07-03,12,568.405,5.808
2025-07-03 13:00:00,2025-07-03,13,537.258,6.347
2025-07-03 14:00:00,2025-07-03,14,528.054,6.541
2025-07-03 15:00:00,2025-07-03,15,558.174,7.752
2025-07-03 16:00:00,2025-07-03,16,630.516,8.728
2025-07-03 17:00:00,2025-07-03,17,695.328,11.703
2025-07-03 18:00:00,2025-07-03,18,708.795,15.041
2025-07-03 19:00:00,2025-07-03,19,691.384,12.650
2025-07-03 20:00:00,2025-07-03,20,669.326,8.718
2025-07-03 21:00:00,2025-07-03,21,619.462,5.310
2025-07-03 22:00:00,2025-07-03,22,554.017,1.399
2025-07-03 23:00:00,2025-07-03,23,516.761,2.999
2025-07-04 00:00:00,2025-07-04,0,438.526,5.097
2025-07-04 01:00:00,2025-07-04,1,413.339,9.429
2025-07-04 02:00:00,2025-07-04,2,436.133,8.665
2025-07-04 03:00:00,2025-07-04,3,427.411,7.672
2025-07-04 04:00:00,2025-07-04,4,462.342,7.457
2025-07-04 05:00:00,2025-07-04,5,496.167,4.109
2025-07-04 06:00:00,2025-07-04,6,571.150,6.210
2025-07-04 07:00:00,2025-07-04,7,606.485,7.422
2025-07-04 08:00:00,2025-07-04,8,659.234,9.519
2025-07-04 09:00:00,2025-07-04,9,676.215,7.571
2025-07-04 10:00:00,2025-07-04,10,669.917,6.811
2025-07-04 11:00:00,2025-07-04,11,595.551,2.332
2025-07-04 12:00:00,2025-07-04,12,558.838,5.436
2025-07-04 13:00:00,2025-07-04,13,508.457,2.414
2025-07-04 14:00:00,2025-07-04,14,512.276,3.553
2025-07-04 15:00:00,2025-07-04,15,533.191,3.500
2025-07-04 16:00:00,2025-07-04,16,615.507,4.075
2025-07-04 17:00:00,2025-07-04,17,674.276,5.934
2025-07-04 18:00:00,2025-07-04,18,713.933,9.174
2025-07-04 19:00:00,2025-07-04,19,709.365,10.870
2025-07-04 20:00:00,2025-07-04,20,696.430,13.230
2025-07-04 21:00:00,2025-07-04,21,600.493,7.067
2025-07-04 22:00:00,2025-07-04,22,538.162,5.500
2025-07-04 23:00:00,2025-07-04,23,493.772,6.022
2025-07-05 00:00:00,2025-07-05,0,384.377,3.858
2025-07-05 01:00:00,2025-07-05,1,375.267,2.872
2025-07-05 02:00:00,2025-07-05,2,354.296,6.554
2025-07-05 03:00:00,2025-07-05,3,374.500,3.607
2025-07-05 04:00:00,2025-07-05,4,414.237,4.793
2025-07-05 05:00:00,2025-07-05,5,430.940,2.783
2025-07-05 06:00:00,2025-07-05,6,502.380,5.898
2025-07-05 07:00:00,2025-07-05,7,578.597,5.171
2025-07-05 08:00:00,2025-07-05,8,609.604,2.656
2025-07-05 09:00:00,2025-07-05,9,613.317,0.018
2025-07-05 10:00:00,2025-07-05,10,580.994,1.815
2025-07-05 11:00:00,2025-07-05,11,471.469,4.811
2025-07-05 12:00:00,2025-07-05,12,453.726,2.439
2025-07-05 13:00:00,2025-07-05,13,486.333,6.929
2025-07-05 14:00:00,2025-07-05,14,456.740,7.823
2025-07-05 15:00:00,2025-07-05,15,454.557,8.734
2025-07-05 16:00:00,2025-07-05,16,491.110,9.112
2025-07-05 17:00:00,2025-07-05,17,526.132,16.487
2025-07-05 18:00:00,2025-07-05,18,600.348,14.055
2025-07-05 19:00:00,2025-07-05,19,624.145,15.388
2025-07-05 20:00:00,2025-07-05,20,582.793,9.031
2025-07-05 21:00:00,2025-07-05,21,540.075,7.473
2025-07-05 22:00:00,2025-07-05,22,473.384,8.132
2025-07-05 23:00:00,2025-07-05,23,446.817,4.645
2025-07-06 00:00:00,2025-07-06,0,393.501,3.698
2025-07-06 01:00:00,2025-07-06,1,410.389,8.992
2025-07-06 02:00:00,2025-07-06,2,374.474,3.186
2025-07-06 03:00:00,2025-07-06,3,345.264,5.004
2025-07-06 04:00:00,2025-07-06,4,395.606,3.572
2025-07-06 05:00:00,2025-07-06,5,398.593,0.137
2025-07-06 06:00:00,2025-07-06,6,427.778,0.000
2025-07-06 07:00:00,2025-07-06,7,496.229,0.000
2025-07-06 08:00:00,2025-07-06,8,522.141,1.182
2025-07-06 09:00:00,2025-07-06,9,549.972,1.441
2025-07-06 10:00:00,2025-07-06,10,516.591,3.561
2025-07-06 11:00:00,2025-07-06,11,482.534,6.680
2025-07-06 12:00:00,2025-07-06,12,453.914,5.757
2025-07-06 13:00:00,2025-07-06,13,412.107,7.592
2025-07-06 14:00:00,2025-07-06,14,386.358,4.441
2025-07-06 15:00:00,2025-07-06,15,408.660,3.577
2025-07-06 16:00:00,2025-07-06,16,442.832,2.209
2025-07-06 17:00:00,2025-07-06,17,507.370,6.328
2025-07-06 18:00:00,2025-07-06,18,558.625,9.914
2025-07-06 19:00:00,2025-07-06,19,597.352,10.730
2025-07-06 20:00:00,2025-07-06,20,603.859,10.672
2025-07-06 21:00:00,2025-07-06,21,539.596,7.181
2025-07-06 22:00:00,2025-07-06,22,513.035,8.196
2025-07-06 23:00:00,2025-07-06,23,458.255,4.182
2025-07-07 00:00:00,2025-07-07,0,472.722,3.512
2025-07-07 01:00:00,2025-07-07,1,456.401,6.268
2025-07-07 02:00:00,2025-07-07,2,429.429,6.762
2025-07-07 03:00:00,2025-07-07,3,423.858,2.609
2025-07-07 04:00:00,2025-07-07,4,441.538,5.866
2025-07-07 05:00:00,2025-07-07,5,484.856,6.569
2025-07-07 06:00:00,2025-07-07,6,565.219,3.358
2025-07-07 07:00:00,2025-07-07,7,605.122,6.463
2025-07-07 08:00:00,2025-07-07,8,696.729,8.739
2025-07-07 09:00:00,2025-07-07,9,697.999,8.915
2025-07-07 10:00:00,2025-07-07,10,667.496,8.121
2025-07-07 11:00:00,2025-07-07,11,608.706,4.613
2025-07-07 12:00:00,2025-07-07,12,532.476,7.627
2025-07-07 13:00:00,2025-07-07,13,518.261,8.383
2025-07-07 14:00:00,2025-07-07,14,555.062,8.861
2025-07-07 15:00:00,2025-07-07,15,589.750,11.835
2025-07-07 16:00:00,2025-07-07,16,647.763,11.535
2025-07-07 17:00:00,2025-07-07,17,684.316,12.376
2025-07-07 18:00:00,2025-07-07,18,726.405,15.617
2025-07-07 19:00:00,2025-07-07,19,745.354,20.266
2025-07-07 20:00:00,2025-07-07,20,712.430,17.024
2025-07-07 21:00:00,2025-07-07,21,663.621,14.131
2025-07-07 22:00:00,2025-07-07,22,622.318,11.191
2025-07-07 23:00:00,2025-07-07,23,598.818,8.262
